time,open,high,low,close,hl2,Upper,Lower,target_bull,target_bear,os,phv,bull_top,bull_btm,bull_avg,bull_left,bear_top,bear_btm,bear_avg,bear_left,Bull OB,Bear OB,Volume,Volume MA
1698613200,1.21269,1.21269,1.21127,1.21197,1.21198,1.21319,1.21102,1.21102,1.21319,0,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,952,12182.35
1698616800,1.21197,1.21225,1.21157,1.21167,1.21191,1.21269,1.21102,1.21102,1.21269,0,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,3931,12109.4
1698620400,1.21167,1.21169,1.21099,1.21126,1.2113399999999999,1.21269,1.21099,1.21099,1.21269,0,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,4647,12137.4
1698624000,1.21126,1.21128,1.2106,1.211,1.21094,1.21269,1.2106,1.2106,1.21269,0,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,7310,12306.1
1698627600,1.211,1.21132,1.21065,1.2113099999999999,1.210985,1.21269,1.2106,1.2106,1.21269,0,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,7448,12340.55
1698631200,1.2113099999999999,1.21163,1.21105,1.21129,1.2113399999999999,1.21225,1.2106,1.2106,1.21225,0,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,7657,12064.05
1698634800,1.21129,1.21214,1.21125,1.21203,1.211695,1.21214,1.2106,1.2106,1.21214,0,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,3691,11489
1698638400,1.21203,1.21217,1.2115799999999999,1.21163,1.211875,1.21217,1.2106,1.2106,1.21217,0,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,3973,11124.35
1698642000,1.21163,1.21164,1.2112,1.21138,1.21142,1.21217,1.21065,1.21065,1.21217,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,5160,10881.7
1698645600,1.21138,1.21313,1.21132,1.21305,1.212225,1.21313,1.21105,1.21105,1.21313,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,6001,10686.95
1698649200,1.21305,1.2133,1.20918,1.2098,1.21124,1.2133,1.20918,1.20918,1.2133,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,12021,10748.05
1698652800,1.2098,1.21051,1.20899,1.21044,1.20975,1.2133,1.20899,1.20899,1.2133,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,16492,10514.85
1698656400,1.21044,1.21368,1.21043,1.21283,1.2120549999999999,1.21368,1.20899,1.20899,1.21368,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,13192,9897.95
1698660000,1.21283,1.21398,1.21194,1.21229,1.21296,1.21398,1.20899,1.20899,1.21398,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.21628,1.2143350000000002,1.2153075000000002,1698415200000,NaN,NaN,10604,9053
1698663600,1.21229,1.21418,1.21201,1.21254,1.213095,1.21418,1.20899,1.20899,1.21418,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.22072,1.2189649999999999,1.2198425,1698152400000,NaN,NaN,11356,8823.15
1698667200,1.21254,1.21444,1.21214,1.21426,1.21329,1.21444,1.20899,1.20899,1.21444,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.22072,1.2189649999999999,1.2198425,1698152400000,NaN,NaN,15062,8929.05
1698670800,1.21426,1.21484,1.21279,1.21377,1.2138149999999999,1.21484,1.21043,1.21043,1.21484,1,NaN,1.210055,1.20764,1.2088475,1698321600000,1.22072,1.2189649999999999,1.2198425,1698152400000,NaN,NaN,19085,9088.5
1698674400,1.21377,1.21517,1.21199,1.21411,1.2135799999999999,1.21517,1.21194,1.21194,1.21517,1,NaN,1.2135799999999999,1.21199,1.2127849999999998,1698674400000,1.22072,1.2189649999999999,1.2198425,1698152400000,1.21199,NaN,26922,9707.75
1698678000,1.21411,1.21648,1.21403,1.21555,1.215255,1.21648,1.21199,1.21199,1.21648,1,NaN,1.2135799999999999,1.21199,1.2127849999999998,1698674400000,1.22072,1.2189649999999999,1.2198425,1698152400000,NaN,NaN,17724,10065.9
1698681600,1.21555,1.21565,1.2141,1.21491,1.214875,1.21648,1.21199,1.21199,1.21648,1,NaN,1.2135799999999999,1.21199,1.2127849999999998,1698674400000,1.22072,1.2189649999999999,1.2198425,1698152400000,NaN,NaN,14362,10379.5
